a52dec 0.7.4-10
openssl-1.0 1.0.2.s-1
openvpn 2.4.7-1
opera-ffmpeg-codecs 76.0.3809.100-1
opus 1.3.1-1
orc 0.4.29-1
os-prober 1.77-1
osinfo-db 20190611-1
p11-kit 0.23.16.1-1
pacman 5.1.3-1
pacman-contrib 1.1.0-1
pacman-mirrorlist 20190821-1
pam 1.3.1-1
pambase 20190105.1-1
pango 1:1.44.5-1
pangomm 2.42.0-1
paper-icon-theme-git 805.8c7bf8d2-1
paprefs 1.1-1
parted 3.2-9
pass 1.7.3-1
patch 2.7.6-7
pavucontrol 1:4.0-1
pciutils 3.6.2-1
pcre 8.43-1
pcre2 10.33-1
peek 1.3.1-3
perl 5.30.0-3
perl-error 0.17027-2
perl-mailtools 2.21-2
perl-timedate 2.30-6
phodav 2.3-1
pinentry 1.1.0-4
pixman 0.38.4-1
pkcs11-helper 1.25.1-1
pkgconf 1.6.3-1
polkit 0.116-2
polkit-gnome 0.105-4
polkit-qt5 0.112.0+git20180107-2
poppler 0.79.0-1
poppler-glib 0.79.0-1
popt 1.16-10
portaudio 1:19.6.0-6
potrace 1.15-1
procps-ng 3.3.15-1
psmisc 23.2-1
pulseaudio 12.2-2
pulseaudio-alsa 2-4
pulseaudio-bluetooth 12.2-2
pulseaudio-equalizer 12.2-2
pulseaudio-jack 12.2-2
pv 1.6.6-2
pygobject-devel 3.32.2-1
pyqt4-common 4.12.1-3
pyqt5-common 5.13.0-1
python 3.7.4-1
python-appdirs 1.4.3-2
python-asn1crypto 0.24.0-2
python-attrs 19.1.0-1
python-backports.csv 1.0.7-1
python-bcrypt 3.1.7-1
python-cachecontrol 0.12.5-4
python-cached-property 1.5.1-2
python-cairo 1.18.1-1
python-cffi 1.12.3-1
python-chardet 3.0.4-2
python-cli_helpers 1.2.0-1
python-click 7.0-1
python-colorama 0.4.1-1
python-configobj 5.0.6-4
python-cryptography 2.7-1
python-dbus 1.2.8-2
python-dbus-common 1.2.8-2
python-distlib 0.2.9-1
python-distro 1.4.0-1
python-docker 4.0.2-1
python-docker-pycreds 0.4.0-1
python-dockerpty 0.4.1-4
python-docopt 0.6.2-5
python-gobject 3.32.2-1
python-html5lib 1.0.1-3
python-idna 2.8-1
python-jsonschema 3.0.2-1
python-lockfile 0.12.2-4
python-lxml 4.4.1-1
python-msgpack 0.6.1-1
python-packaging 19.1-2
python-paramiko 2.6.0-1
python-pdftotext 2.1.1-2
python-pep517 0.5.0-1
python-pip 19.0.3-1
python-ply 3.11-2
python-progress 1.5-1
python-prompt_toolkit 2.0.9-1
python-pyasn1 0.4.6-1
python-pycparser 2.19-1
python-pygments 2.4.2-1
python-pymysql 0.9.3-2
python-pynacl 1.3.0-1
python-pyparsing 2.4.2-1
python-pyqt5 5.13.0-1
python-pyrsistent 0.15.4-1
python-pytoml 0.1.21-1
python-requests 2.22.0-1
python-retrying 1.3.3-4
python-setproctitle 1.1.10-3
python-setuptools 1:41.2.0-1
python-sip 4.19.18-1
python-sip-pyqt5 4.19.18-1
python-six 1.12.0-1
python-sqlparse 0.3.0-1
python-tabulate 0.8.3-3
python-terminaltables 3.1.0-5
python-texttable 1.6.2-1
python-urllib3 1.25.3-1
python-wcwidth 0.1.7-3
python-webencodings 0.5.1-2
python-websocket-client 0.56.0-1
python-xdg 0.26-2
python-yaml 5.1.2-1
python2 2.7.16-1
python2-appdirs 1.4.3-2
python2-attrs 19.1.0-1
python2-dbus 1.2.8-2
python2-enum34 1.1.6-2
python2-packaging 19.1-2
python2-pygments 2.4.2-1
python2-pyinotify 0.9.6-4
python2-pyparsing 2.4.2-1
python2-pyqt4 4.12.1-3
python2-setuptools 1:41.2.0-1
python2-sip 4.19.18-1
python2-six 1.12.0-1
python2-urwid 2.0.1-2
qemu 4.1.0-1
qemu-arch-extra 4.1.0-1
qrencode 4.0.2-1
qt4 4.8.7-29
qt5-base 5.13.0-7
qt5-declarative 5.13.0-1
qt5-location 5.13.0-1
qt5-multimedia 5.13.0-1
qt5-script 5.13.0-1
qt5-sensors 5.13.0-1
qt5-speech 5.13.0-1
qt5-styleplugins 5.0.0.20170311-15
qt5-svg 5.13.0-1
qt5-webchannel 5.13.0-1
qt5-webengine 5.13.0-4
qt5-webkit 5.212.0alpha3-3
qt5-x11extras 5.13.0-1
qt5-xmlpatterns 5.13.0-1
qtkeychain 0.9.1-1
quazip 0.8.1-1
rambox-os-bin 0.5.18-10
raptor 2.0.15-11
rar 5.7.1-1
rasqal 1:0.9.33-2
re2 20190801-1
readline 8.0.0-1
redland 1:1.0.17-7
redshift 1.12-2
reiserfsprogs 3.6.27-2
reptyr 0.7.0-1
rest 0.8.1-1
rofi 1.5.4-1
rpcbind 1.2.5-2
rsync 3.1.3-1
rtkit 0.12-1
rtmpdump 1:2.4.r96.fa8646d-5
ruby 2.6.3-1
rubygems 3.0.4-1
run-parts 4.8.6.1-1
runc 1.0.0rc8-2
rust 1:1.37.0-2
s-nail 14.9.14-1
sbc 1.4-1
scrot 1.1.1-1
sdl 1.2.15-10
sdl2 2.0.10-1
seabios 1.12.0-1
seahorse 1:3.32.2-1
sed 4.7-1
semver 6.3.0-1
shaderc 2019.0-1
shadow 4.7-2
shared-mime-info 1.12-1
slang 2.3.2-1
snappy 1.1.7-1
solid 5.61.0-1
sonnet 5.61.0-1
sound-theme-freedesktop 0.8-3
speedtest-cli 2.1.1-1
speex 1.2.0-2
speexdsp 1.2.0-1
spice 0.14.2-1
spice-gtk 0.37-1
spirv-tools 2019.3-2
spotify 1:1.1.10.546-1
sqlite 3.29.0-1
startup-notification 0.12-6
stremio-legacy 3.6.5-4
sudo 1.8.27-1
sysfsutils 2.1.0-10
systemd 242.84-2
systemd-libs 242.84-2
systemd-sysvcompat 242.84-2
t1lib 5.1.2-7
taglib 1.11.1-3
talloc 2.2.0-1
tar 1.32-1
tcl 8.6.9-2
tcpdump 4.9.2-1
tdb 1.3.18-2
texinfo 6.6-1
texlive-bin 2019.51075-2
the_silver_searcher 2.2.0-1
thermald 1.9-2
thin-provisioning-tools 0.8.5-2
tk 8.6.9.1-2
tmux 2.9_a-4
traceroute 2.1.0-2
transmission-gtk 2.94-2
trash-cli 0.17.1.14-4
tree 1.8.0-1
tslib 1.20-1
ttf-carlito 20130920-4
ttf-dejavu 2.37-2
ttf-liberation 2.00.5-2
tzdata 2019b-1
udisks2 2.8.4-1
unzip 6.0-13
upower 0.99.10-1
urlview 0.9-13
usbmuxd 1.1.0+48+g1cc8b34-3
usbredir 0.8.0-1
usbutils 010-1
util-linux 2.34-3
v4l-utils 1.16.6-1
vagrant 2.2.5-1
vde2 2.3.2-11
vi 1:070224-3
vid.stab 1.1-2
virglrenderer 0.7.0-1
virt-install 2.2.0-2
virt-manager 2.2.0-2
vlc 3.0.8-1
volume_key 0.3.11-2
vte-common 0.56.3-1
vte3 0.56.3-1
vulkan-icd-loader 1.1.119-1
w3m 0.5.3.git20190105-1
wayland 1.17.0-1
wayland-protocols 1.18-1
webrtc-audio-processing 0.3.1-1
wget 1.20.3-2
which 2.21-3
whois 5.5.1-1
wkhtmltopdf 0.12.5-1
woff2 1.0.2-1
wpa_supplicant 2:2.8-1
x264 2:157.r72db4377-1
x265 3.1.2-1
xapian-core 1:1.4.12-1
xautolock 2.2-5
xbitmaps 1.1.2-1
xcb-proto 1.13-2
xcb-util 0.4.0-2
xcb-util-cursor 0.1.3-2
xcb-util-image 0.4.0-2
xcb-util-keysyms 0.4.0-2
xcb-util-renderutil 0.3.9-2
xcb-util-wm 0.4.1-2
xcb-util-xrm 1.3-1
xclip 0.13-2
xdg-utils 1.1.3-3
xdotool 3.20160805.1-2
xf86-input-libinput 0.29.0-1
xf86-video-intel 1:2.99.917+870+g6f4972d5-1
xf86-video-vesa 2.4.0-2
xfsprogs 4.20.0-2
xkeyboard-config 2.27-1
xmlsec 1.2.28-1
xmlto 0.0.28-3
xorg-bdftopcf 1.1-1
xorg-font-util 1.3.1-2
xorg-font-utils 7.6-5
xorg-fonts-encodings 1.0.5-1
xorg-luit 1.1.1-3
xorg-mkfontscale 1.2.1-1
xorg-server 1.20.5-2
xorg-server-common 1.20.5-2
xorg-setxkbmap 1.3.2-1
xorg-xauth 1.1-1
xorg-xbacklight 1.2.3-1
xorg-xev 1.2.3-1
xorg-xinit 1.4.1-1
xorg-xkbcomp 1.4.2-1
xorg-xmodmap 1.0.10-1
xorg-xprop 1.2.4-1
xorg-xrandr 1.5.1-1
xorg-xrdb 1.2.0-1
xorg-xset 1.2.4-1
xorgproto 2019.1-1
xournalpp 1.0.12-1
xterm 348-1
xvidcore 1.3.5-1
xz 5.2.4-1
yajl 2.1.0-2
yay 9.2.1-1
youtube-dl 2019.08.13-1
yubico-c 1.13-5
yubico-c-client 2.15-4
yubikey-personalization 1.20.0-1
zathura 0.4.3-3
zathura-pdf-mupdf 0.3.5-1
zeromq 4.3.1-2
zita-alsa-pcmi 0.3.2-1
zita-resampler 1.6.2-1
zlib 1:1.2.11-3
zstd 1.4.2-1
zziplib 0.13.69-1
